strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
USA/CA-CDPH-1MPX1000132/2022|OQ348879.1|2022-06-30	OQ348879.1	2022-06-30	USA		195693	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000132/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000133/2022|OQ348880.1|2022-06-29	OQ348880.1	2022-06-29	USA		196483	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000133/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000134/2022|OQ348881.1|2022-06-29	OQ348881.1	2022-06-29	USA		196511	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000134/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000135/2022|OQ348882.1|2022-07-12	OQ348882.1	2022-07-12	USA		196517	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000135/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000136/2022|OQ348883.1|2022-07-15	OQ348883.1	2022-07-15	USA		196454	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000136/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000137/2022|OQ348884.1|2022-07-17	OQ348884.1	2022-07-17	USA		196437	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000137/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000138/2022|OQ348885.1|2022-08-14	OQ348885.1	2022-08-14	USA		195700	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000138/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000139/2022|OQ348886.1|2022-06-20	OQ348886.1	2022-06-20	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000139/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000140/2022|OQ348887.1|2022-06-21	OQ348887.1	2022-06-21	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000140/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000141/2022|OQ348888.1|2022-06-21	OQ348888.1	2022-06-21	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000141/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000142/2022|OQ348889.1|2022-06-23	OQ348889.1	2022-06-23	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000142/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000143/2022|OQ348890.1|2022-06-25	OQ348890.1	2022-06-25	USA		196195	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000143/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000144/2022|OQ348891.1|2022-06-25	OQ348891.1	2022-06-25	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000144/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000145/2022|OQ348892.1|2022-06-28	OQ348892.1	2022-06-28	USA		195671	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000145/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000146/2022|OQ348893.1|2022-06-30	OQ348893.1	2022-06-30	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000146/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1.7
USA/CA-CDPH-1MPX1000147/2022|OQ348894.1|2022-07-05	OQ348894.1	2022-07-05	USA		195671	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000147/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000148/2022|OQ348895.1|2022-07-07	OQ348895.1	2022-07-07	USA		196457	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000148/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000149/2022|OQ348896.1|2022-07-01	OQ348896.1	2022-07-01	USA		196099	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000149/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000150/2022|OQ348897.1|2022-07-01	OQ348897.1	2022-07-01	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000150/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000151/2022|OQ348898.1|2022-07-08	OQ348898.1	2022-07-08	USA		196131	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000151/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000152/2022|OQ348899.1|2022-07-12	OQ348899.1	2022-07-12	USA		196039	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000152/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000153/2022|OQ348900.1|2022-07-25	OQ348900.1	2022-07-25	USA		195700	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000153/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000154/2022|OQ348901.1|2022-08-17	OQ348901.1	2022-08-17	USA		196386	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000154/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
hMPXV-CH-38292866/2022|OQ411312.1|2022-06-08	OQ411312.1	2022-06-08	Switzerland		196902	Homo sapiens			hMPXV-CH-38292866/2022	Laubscher,F., Chudzinsk,V., Schibler,M., Kaiser,L., Renzoni,A.		B.1
Germany/2022/ON/RKI698|OQ417831.1|2022-08	OQ417831.1	2022-08	Germany		190579	Homo sapiens			Germany/2022/ON/RKI698	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.2
Germany/2022/ON/RKI699|OQ417832.1|2022-08	OQ417832.1	2022-08	Germany		190588	Homo sapiens			Germany/2022/ON/RKI699	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI700|OQ417833.1|2022-08	OQ417833.1	2022-08	Germany		190592	Homo sapiens			Germany/2022/ON/RKI700	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI701|OQ417834.1|2022-08	OQ417834.1	2022-08	Germany		190599	Homo sapiens			Germany/2022/ON/RKI701	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.7
Germany/2022/ON/RKI702|OQ417835.1|2022-08	OQ417835.1	2022-08	Germany		190590	Homo sapiens			Germany/2022/ON/RKI702	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI705|OQ417836.1|2022-09	OQ417836.1	2022-09	Germany		189659	Homo sapiens			Germany/2022/ON/RKI705	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.3
Germany/2022/ON/RKI703|OQ417837.1|2022-08	OQ417837.1	2022-08	Germany		190622	Homo sapiens			Germany/2022/ON/RKI703	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.8
Germany/2022/ON/RKI704|OQ417838.1|2022-08	OQ417838.1	2022-08	Germany		190605	Homo sapiens			Germany/2022/ON/RKI704	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI706|OQ417839.1|2022-09	OQ417839.1	2022-09	Germany		190588	Homo sapiens			Germany/2022/ON/RKI706	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI707|OQ417840.1|2022-09	OQ417840.1	2022-09	Germany		190599	Homo sapiens			Germany/2022/ON/RKI707	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI708|OQ417841.1|2022-09	OQ417841.1	2022-09	Germany		190600	Homo sapiens			Germany/2022/ON/RKI708	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
NY-NYCPHL-001007|OQ418992.1|2022-07	OQ418992.1	2022-07	USA	NY, New York City	196512	Homo sapiens	PRJNA949682		NY-NYCPHL-001007	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-001008|OQ418993.1|2022-07	OQ418993.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-001008	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-001009|OQ418994.1|2022-07	OQ418994.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-001009	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.3
NY-NYCPHL-001010|OQ418995.1|2022-07	OQ418995.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-001010	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.7
NY-NYCPHL-001155|OQ418996.1|2022-07	OQ418996.1	2022-07	USA	NY, New York City	195653	Homo sapiens	PRJNA949682		NY-NYCPHL-001155	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-001166|OQ418997.1|2022-07	OQ418997.1	2022-07	USA	NY, New York City	195648	Homo sapiens	PRJNA949682		NY-NYCPHL-001166	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-001171|OQ418998.1|2022-10	OQ418998.1	2022-10	USA	NY, New York City	195640	Homo sapiens	PRJNA949682		NY-NYCPHL-001171	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.12
NY-NYCPHL-001176|OQ418999.1|2022-11	OQ418999.1	2022-11	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-001176	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-001177|OQ419000.1|2022-11	OQ419000.1	2022-11	USA	NY, New York City	195992	Homo sapiens	PRJNA949682		NY-NYCPHL-001177	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-001178|OQ419001.1|2022-11	OQ419001.1	2022-11	USA	NY, New York City	196032	Homo sapiens	PRJNA949682		NY-NYCPHL-001178	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000097|OQ419002.1|2022-06	OQ419002.1	2022-06	USA	NY, New York City	195654	Homo sapiens	PRJNA949682		NY-NYCPHL-000097	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.4
NY-NYCPHL-000157|OQ419003.1|2022-06	OQ419003.1	2022-06	USA	NY, New York City	195636	Homo sapiens	PRJNA949682		NY-NYCPHL-000157	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000158|OQ419004.1|2022-06	OQ419004.1	2022-06	USA	NY, New York City	195647	Homo sapiens	PRJNA949682		NY-NYCPHL-000158	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.9
NY-NYCPHL-000179|OQ419005.1|2022-06	OQ419005.1	2022-06	USA	NY, New York City	195655	Homo sapiens	PRJNA949682		NY-NYCPHL-000179	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000237|OQ419006.1|2022-07	OQ419006.1	2022-07	USA	NY, New York City	195636	Homo sapiens	PRJNA949682		NY-NYCPHL-000237	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.10
NY-NYCPHL-000238|OQ419007.1|2022-07	OQ419007.1	2022-07	USA	NY, New York City	195649	Homo sapiens	PRJNA949682		NY-NYCPHL-000238	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.7
NY-NYCPHL-000337|OQ419008.1|2022-08	OQ419008.1	2022-08	USA	NY, New York City	195659	Homo sapiens	PRJNA949682		NY-NYCPHL-000337	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000388|OQ419009.1|2022-08	OQ419009.1	2022-08	USA	NY, New York City	195640	Homo sapiens	PRJNA949682		NY-NYCPHL-000388	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.12
NY-NYCPHL-000394|OQ419010.1|2022-08	OQ419010.1	2022-08	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000394	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000408|OQ419011.1|2022-08	OQ419011.1	2022-08	USA	NY, New York City	195641	Homo sapiens	PRJNA949682		NY-NYCPHL-000408	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.12
NY-NYCPHL-000422|OQ419012.1|2022-09	OQ419012.1	2022-09	USA	NY, New York City	195615	Homo sapiens	PRJNA949682		NY-NYCPHL-000422	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.9
NY-NYCPHL-000424|OQ419013.1|2022-09	OQ419013.1	2022-09	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000424	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000427|OQ419014.1|2022-09	OQ419014.1	2022-09	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000427	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000458|OQ419015.1|2022-07	OQ419015.1	2022-07	USA	NY, New York City	195659	Homo sapiens	PRJNA949682		NY-NYCPHL-000458	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000462|OQ419016.1|2022-07	OQ419016.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000462	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.3
NY-NYCPHL-000467|OQ419017.1|2022-07	OQ419017.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000467	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000475|OQ419018.1|2022-07	OQ419018.1	2022-07	USA	NY, New York City	195653	Homo sapiens	PRJNA949682		NY-NYCPHL-000475	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.7
NY-NYCPHL-000478|OQ419019.1|2022-07	OQ419019.1	2022-07	USA	NY, New York City	195638	Homo sapiens	PRJNA949682		NY-NYCPHL-000478	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.7
NY-NYCPHL-000491|OQ419020.1|2022-07	OQ419020.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000491	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000495|OQ419021.1|2022-07	OQ419021.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000495	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000498|OQ419022.1|2022-07	OQ419022.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000498	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000515|OQ419023.1|2022-07	OQ419023.1	2022-07	USA	NY, New York City	195663	Homo sapiens	PRJNA949682		NY-NYCPHL-000515	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000516|OQ419024.1|2022-07	OQ419024.1	2022-07	USA	NY, New York City	195651	Homo sapiens	PRJNA949682		NY-NYCPHL-000516	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.12
NY-NYCPHL-000522|OQ419025.1|2022-07	OQ419025.1	2022-07	USA	NY, New York City	195650	Homo sapiens	PRJNA949682		NY-NYCPHL-000522	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000523|OQ419026.1|2022-07	OQ419026.1	2022-07	USA	NY, New York City	195645	Homo sapiens	PRJNA949682		NY-NYCPHL-000523	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.18
NY-NYCPHL-000524|OQ419027.1|2022-07	OQ419027.1	2022-07	USA	NY, New York City	195640	Homo sapiens	PRJNA949682		NY-NYCPHL-000524	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.3
NY-NYCPHL-000525|OQ419028.1|2022-07	OQ419028.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000525	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000526|OQ419029.1|2022-07	OQ419029.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000526	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000527|OQ419030.1|2022-07	OQ419030.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000527	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000528|OQ419031.1|2022-07	OQ419031.1	2022-07	USA	NY, New York City	195619	Homo sapiens	PRJNA949682		NY-NYCPHL-000528	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
NY-NYCPHL-000529|OQ419032.1|2022-07	OQ419032.1	2022-07	USA	NY, New York City	195653	Homo sapiens	PRJNA949682		NY-NYCPHL-000529	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.3
NY-NYCPHL-000530|OQ419033.1|2022-07	OQ419033.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000530	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.3
NY-NYCPHL-000531|OQ419034.1|2022-07	OQ419034.1	2022-07	USA	NY, New York City	195650	Homo sapiens	PRJNA949682		NY-NYCPHL-000531	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.11
NY-NYCPHL-000546|OQ419035.1|2022-07	OQ419035.1	2022-07	USA	NY, New York City	195653	Homo sapiens	PRJNA949682		NY-NYCPHL-000546	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000547|OQ419036.1|2022-07	OQ419036.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000547	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1
NY-NYCPHL-000554|OQ419037.1|2022-07	OQ419037.1	2022-07	USA	NY, New York City	195656	Homo sapiens	PRJNA949682		NY-NYCPHL-000554	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.12
NY-NYCPHL-000562|OQ419038.1|2022-07	OQ419038.1	2022-07	USA	NY, New York City	195650	Homo sapiens	PRJNA949682		NY-NYCPHL-000562	Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.		B.1.2
